Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\index.html","HTML","51294","","200 OK","0",""
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/all.css","../dw1.s81c.com\common\v16\css\all.css","HTML","138","Thu, 23 Nov 2006 04:41:44 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/screen.css","../dw1.s81c.com\common\v16\css\screen.css","HTML","109212","Thu, 08 Sep 2011 05:51:30 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/screen-uas.css","../dw1.s81c.com\common\v16\css\screen-uas.css","HTML","27691","Tue, 07 Jun 2011 11:01:49 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/cn/zh/screen-fonts.css","../dw1.s81c.com\common\v16\css\cn\zh\screen-fonts.css","HTML","11775","Fri, 29 Oct 2010 14:39:27 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/handheld.css","../dw1.s81c.com\common\v16\css\handheld.css","HTML","1172","Tue, 07 Jun 2011 11:03:54 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/print.css","../dw1.s81c.com\common\v16\css\print.css","HTML","1032","Mon, 04 Jul 2011 07:53:56 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/css/dw-screen.css","../dw1.s81c.com\developerworks\css\dw-screen.css","HTML","29286","Fri, 06 Jan 2012 15:56:32 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/css/dw-local-site.css","../dw1.s81c.com\developerworks\css\dw-local-site.css","HTML","747","Tue, 18 Oct 2011 18:12:24 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/css/dw-mf/dw-mf0311.css","../dw1.s81c.com\developerworks\css\dw-mf\dw-mf0311.css","HTML","44654","Fri, 11 Nov 2011 16:15:50 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css","../dw1.s81c.com\developerworks\js\jquery\cluetip98\jquery.cluetip.css","HTML","1401","Mon, 21 Jul 2008 20:35:32 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/js/ibmcommon.js","../dw1.s81c.com\common\js\ibmcommon.js","HTML","98294","Tue, 28 Jun 2011 08:45:23 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/js/dynamicnav.js","../dw1.s81c.com\common\js\dynamicnav.js","HTML","82913","Wed, 05 Oct 2011 08:45:49 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/js/dropdown.js","../dw1.s81c.com\common\js\dropdown.js","HTML","382","Fri, 22 Jul 2005 00:16:32 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/urltactic.js","../dw1.s81c.com\developerworks\js\urltactic.js","HTML","11804","Tue, 30 Mar 2010 15:34:53 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
